gas_price;gas_type;place_id
22.19;diesel;10730
20.5;regular;10581
21.8;diesel;10581
20.43;regular;10690
22.87;premium;10423
21.47;regular;10423
19.75;regular;10390
20;premium;10390
20.55;diesel;10390
14.88;regular;10418
16.08;premium;10418
21.4;regular;10445
21.9;diesel;10445
23.65;premium;10445
21.79;regular;2778
22.79;diesel;2778
23.99;premium;2778
21.98;regular;10291
23.84;premium;10291
22.87;diesel;10291
22.28;regular;10479
23.98;premium;10479
23.18;diesel;10479
21.9;regular;10413
23.35;premium;10413
23.75;diesel;10413
21.9;regular;10398
23.35;premium;10398
23.75;diesel;10398
21.89;regular;10666
23.29;premium;10666
23.54;diesel;10666
21.48;regular;10649
22.98;premium;10649
23.28;diesel;10649
20.9;regular;10294
22.9;premium;10294
22.4;diesel;10294
20.77;regular;10372
22.21;premium;10372
22.19;diesel;10372
22.09;regular;10552
24.79;premium;10552
18.78;regular;10575
20.1;premium;10575
20.79;diesel;10575
21.05;regular;2821
22.84;premium;2821
22.29;diesel;2821
22.73;regular;10584
24.78;premium;10584
24.03;diesel;10584
23.46;regular;10289
25.18;premium;10289
24.69;diesel;10289
21.85;regular;10692
24.15;premium;10692
21.85;regular;10607
24.15;premium;10607
20.4;regular;10780
22.3;premium;10780
22.22;diesel;10780
23.21;regular;10715
25.19;premium;10715
22.89;diesel;10715
24.39;premium;10300
21.99;regular;10300
21.79;regular;10766
24.09;premium;10766
21.69;regular;10699
22.74;premium;10699
19.79;regular;10400
21.89;premium;10400
20.26;diesel;10400
22.98;regular;2838
24.98;premium;2838
22.03;regular;10334
23.15;premium;10334
23.55;diesel;10334
20.59;regular;10419
22.39;premium;10419
22.45;diesel;10419
21.69;regular;10710
17.15;diesel;10710
21.6;regular;10370
23.79;premium;10370
20.75;regular;10536
22.65;premium;10536
21.95;diesel;10536
21.79;diesel;10371
20.59;regular;10371
21.97;premium;10371
23.79;diesel;10768
24.89;premium;10768
22.69;regular;10768
16.95;regular;10397
17.59;premium;10397
19.55;diesel;10397
20.79;regular;10716
22.99;premium;10716
21.89;diesel;10716
20.79;regular;10682
23.49;premium;10682
22.09;diesel;2895
20.46;regular;2895
21.8;regular;10428
22.79;diesel;10428
24.3;regular;10761
25.5;diesel;10761
24.08;premium;10327
23.12;diesel;10327
22.65;regular;10327
21.65;regular;10392
24.26;premium;10392
23.38;diesel;10392
19.99;regular;10501
22.99;premium;10501
19.99;regular;10555
22.99;premium;10555
20.59;regular;10315
22.99;premium;10315
22.09;regular;10599
23.99;premium;10599
23.29;diesel;10599
20.99;regular;10724
23.05;premium;10724
22.85;diesel;10724
20.64;regular;10653
22.84;premium;10653
20.59;diesel;10653
21.99;regular;2782
23.19;diesel;2782
23.99;premium;2782
16.99;regular;10782
17.89;premium;10782
21.19;diesel;10782
20.99;regular;10632
22.29;premium;10632
21.89;diesel;10632
19.25;regular;10323
21.09;premium;10323
23.29;regular;10442
25.49;premium;10442
22.79;diesel;10442
20.95;regular;10462
22.25;diesel;10462
19.79;regular;10467
